3/16/2022 13:18:18: [G_Auto 1] :  Store Text Value (Shared) for J.j. Wolf: info = marketName: J Wolf v Purcell - Match Odds; runnerA: J.j. Wolf; runnerB: Max Purcell 
3/16/2022 13:18:18: [G_Auto 1] :  Store Value (Shared) for market: aId = 24339655
3/16/2022 13:18:18: [G_Auto 1] :  Store Value (Shared) for market: bId = 10460213
3/16/2022 18:07:48:  Guardian has detected that the market is in-play
3/16/2022 18:07:48:  Guardian has detected that the market is suspended
3/16/2022 18:07:51: [G_Auto 1] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.68; bBsp: 2.7; volume: 956.05 
3/16/2022 18:07:51: [G_Auto 1] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.68; bBsp: 2.7; volume: 956.05 
3/16/2022 18:07:51:  Guardian has detected that the market is now unsuspended
3/16/2022 18:07:54: [G_Auto 5] :  € 10.00 Lay bet placed on Max Purcell at 1.4. Entirely unmatched when it initially reached the market.   Ref: 10996
3/16/2022 18:07:54: [G_Auto 4] :  € 20.00 Lay bet placed on J.j. Wolf at 1.3. Entirely unmatched when it initially reached the market.   Ref: 10997
3/16/2022 18:07:54: [G_Auto 2] :  € 100.00 Lay bet placed on J.j. Wolf at 1.1. Entirely unmatched when it initially reached the market.   Ref: 10992
3/16/2022 18:07:54: [G_Auto 2] :  € 100.00 Lay bet placed on Max Purcell at 1.1. Entirely unmatched when it initially reached the market.   Ref: 10993
3/16/2022 18:07:54: [G_Auto 3] :  € 50.00 Lay bet placed on J.j. Wolf at 1.2. Entirely unmatched when it initially reached the market.   Ref: 10995
3/16/2022 18:07:54: [G_Auto 3] :  € 50.00 Lay bet placed on Max Purcell at 1.2. Entirely unmatched when it initially reached the market.   Ref: 10994
3/16/2022 18:07:54: [G_Auto 5] :  € 10.00 Lay bet placed on J.j. Wolf at 1.4. Entirely unmatched when it initially reached the market.   Ref: 10998
3/16/2022 18:07:54: [G_Auto 4] :  € 20.00 Lay bet placed on Max Purcell at 1.3. Entirely unmatched when it initially reached the market.   Ref: 10999
3/16/2022 18:14:48: [G_Auto 1] :  Store Text Value (Shared) for J.j. Wolf: aPoints = point: 30; games: 1; sets: 0 
3/16/2022 18:14:48: [G_Auto 1] :  Store Text Value (Shared) for J.j. Wolf: aServing = serving:0
3/16/2022 18:14:48: [G_Auto 1] :  Store Text Value (Shared) for Max Purcell: bPoints = point: 0; games: 1; sets: 0 
3/16/2022 18:14:48: [G_Auto 1] :  Store Text Value (Shared) for Max Purcell: bServing = serving:2
3/16/2022 18:14:48: [G_Auto 1] :  Store Value (Shared) for market: price = 1.4
3/16/2022 18:14:48: [G_Auto 1] :  Store Value (Shared) for market: totalBack = 0
3/16/2022 18:14:48: [G_Auto 1] :  Store Value (Shared) for market: totalLay = 0.035
3/16/2022 18:14:48: [G_Auto 1] :  Store Value (Shared) for market: stake = 0.035
3/16/2022 18:14:48: [G_Auto 1] :  Store Value (Shared) for market: totalStake = 0.035
3/16/2022 18:14:48: [G_Auto 1] :  Store Value (Shared) for market: pl = 0
3/16/2022 18:14:48: [G_Auto 1] :  Store Value (Shared) for market: currentOddsA = 1.41
3/16/2022 18:14:48: [G_Auto 1] :  Store Value (Shared) for market: currentOddsB = 3.5
3/16/2022 18:15:26: [G_Auto 5] :  € 0.12 Back bet placed on J.j. Wolf at 7.8. Entirely unmatched when it initially reached the market.   Ref: 11040
3/16/2022 18:15:26: [G_Auto 5] :  € 0.86 Back bet placed on J.j. Wolf at 10. Entirely unmatched when it initially reached the market.   Ref: 11041
3/16/2022 18:15:26: [G_Auto 5] :  € 0.30 Back bet placed on J.j. Wolf at 3.65. Entirely unmatched when it initially reached the market.   Ref: 11042
3/16/2022 18:15:26: [G_Auto 5] :  € 0.58 Back bet placed on J.j. Wolf at 2.38. Entirely unmatched when it initially reached the market.   Ref: 11043
3/16/2022 18:15:26: [G_Auto 5] :  € 1.05 Back bet placed on J.j. Wolf at 1.76. Entirely unmatched when it initially reached the market.   Ref: 11044
3/16/2022 18:15:41: [G_Auto 1] :  Store Text Value (Shared) for J.j. Wolf: aPoints = point: 0; games: 2; sets: 0 
3/16/2022 18:15:41: [G_Auto 1] :  Store Text Value (Shared) for J.j. Wolf: aServing = serving:1
3/16/2022 18:15:41: [G_Auto 1] :  Store Text Value (Shared) for Max Purcell: bPoints = point: 0; games: 1; sets: 0 
3/16/2022 18:15:41: [G_Auto 1] :  Store Text Value (Shared) for Max Purcell: bServing = serving:0
3/16/2022 18:15:41: [G_Auto 1] :  Store Value (Shared) for market: price = 1.3
3/16/2022 18:15:41: [G_Auto 1] :  Store Value (Shared) for market: totalBack = 0
3/16/2022 18:15:41: [G_Auto 1] :  Store Value (Shared) for market: totalLay = 30
3/16/2022 18:15:41: [G_Auto 1] :  Store Value (Shared) for market: stake = 20
3/16/2022 18:15:41: [G_Auto 1] :  Store Value (Shared) for market: totalStake = 30
3/16/2022 18:15:41: [G_Auto 1] :  Store Value (Shared) for market: pl = -1.5
3/16/2022 18:15:41: [G_Auto 1] :  Store Value (Shared) for market: currentOddsA = 1.33
3/16/2022 18:15:41: [G_Auto 1] :  Store Value (Shared) for market: currentOddsB = 4
3/16/2022 18:15:44: [G_Auto 4] :  € 2.22 Back bet placed on J.j. Wolf at 1.54. Entirely unmatched when it initially reached the market.   Ref: 11045
3/16/2022 18:15:47: [G_Auto 4] :  € 0.50 Back bet placed on J.j. Wolf at 3.4. Entirely unmatched when it initially reached the market.   Ref: 11050
3/16/2022 18:15:47: [G_Auto 4] :  € 0.85 Back bet placed on J.j. Wolf at 2.42. Entirely unmatched when it initially reached the market.   Ref: 11052
3/16/2022 18:15:47: [G_Auto 4] :  € 1.60 Back bet placed on J.j. Wolf at 10. Entirely unmatched when it initially reached the market.   Ref: 11053
3/16/2022 18:15:47: [G_Auto 4] :  € 1.36 Back bet placed on J.j. Wolf at 1.88. Entirely unmatched when it initially reached the market.   Ref: 11051
3/16/2022 18:22:18: [G_Auto 1] :  Store Text Value (Shared) for J.j. Wolf: aPoints = point: 15; games: 3; sets: 0 
3/16/2022 18:22:18: [G_Auto 1] :  Store Text Value (Shared) for J.j. Wolf: aServing = serving:0
3/16/2022 18:22:18: [G_Auto 1] :  Store Text Value (Shared) for Max Purcell: bPoints = point: 0; games: 1; sets: 0 
3/16/2022 18:22:18: [G_Auto 1] :  Store Text Value (Shared) for Max Purcell: bServing = serving:2
3/16/2022 18:22:18: [G_Auto 1] :  Store Value (Shared) for market: price = 1.2
3/16/2022 18:22:18: [G_Auto 1] :  Store Value (Shared) for market: totalBack = 0
3/16/2022 18:22:18: [G_Auto 1] :  Store Value (Shared) for market: totalLay = 34.67
3/16/2022 18:22:18: [G_Auto 1] :  Store Value (Shared) for market: stake = 4.67
3/16/2022 18:22:18: [G_Auto 1] :  Store Value (Shared) for market: totalStake = 34.67
3/16/2022 18:22:18: [G_Auto 1] :  Store Value (Shared) for market: pl = -3.02
3/16/2022 18:22:18: [G_Auto 1] :  Store Value (Shared) for market: currentOddsA = 1.23
3/16/2022 18:22:18: [G_Auto 1] :  Store Value (Shared) for market: currentOddsB = 5.5
3/16/2022 18:22:25: [G_Auto 1] :  Store Text Value (Shared) for J.j. Wolf: aPoints = point: 15; games: 3; sets: 0 
3/16/2022 18:22:25: [G_Auto 1] :  Store Text Value (Shared) for J.j. Wolf: aServing = serving:0
3/16/2022 18:22:25: [G_Auto 1] :  Store Text Value (Shared) for Max Purcell: bPoints = point: 0; games: 1; sets: 0 
3/16/2022 18:22:25: [G_Auto 1] :  Store Text Value (Shared) for Max Purcell: bServing = serving:2
3/16/2022 18:22:25: [G_Auto 1] :  Store Value (Shared) for market: price = 1.2
3/16/2022 18:22:25: [G_Auto 1] :  Store Value (Shared) for market: totalBack = 0
3/16/2022 18:22:25: [G_Auto 1] :  Store Value (Shared) for market: totalLay = 34.67
3/16/2022 18:22:25: [G_Auto 1] :  Store Value (Shared) for market: stake = 4.67
3/16/2022 18:22:25: [G_Auto 1] :  Store Value (Shared) for market: totalStake = 34.67
3/16/2022 18:22:25: [G_Auto 1] :  Store Value (Shared) for market: pl = -3.33
3/16/2022 18:22:25: [G_Auto 1] :  Store Value (Shared) for market: currentOddsA = 1.21
3/16/2022 18:22:25: [G_Auto 1] :  Store Value (Shared) for market: currentOddsB = 5.7
3/16/2022 18:23:56: [G_Auto 3] :  € 5.89 Back bet placed on J.j. Wolf at 1.34. Entirely unmatched when it initially reached the market.   Ref: 11055
3/16/2022 18:23:56: [G_Auto 3] :  € 3.91 Back bet placed on J.j. Wolf at 1.51. Entirely unmatched when it initially reached the market.   Ref: 11054
3/16/2022 18:23:56: [G_Auto 3] :  € 3.86 Back bet placed on J.j. Wolf at 10. Entirely unmatched when it initially reached the market.   Ref: 11058
3/16/2022 18:23:59: [G_Auto 3] :  € 0.95 Back bet placed on J.j. Wolf at 3.1. Entirely unmatched when it initially reached the market.   Ref: 11059
3/16/2022 18:23:59: [G_Auto 3] :  € 1.93 Back bet placed on J.j. Wolf at 2.04. Entirely unmatched when it initially reached the market.   Ref: 11060
3/16/2022 18:31:02: [G_Auto 1] :  Store Text Value (Shared) for J.j. Wolf: aPoints = point: 40; games: 5; sets: 0 
3/16/2022 18:31:02: [G_Auto 1] :  Store Text Value (Shared) for J.j. Wolf: aServing = serving:0
3/16/2022 18:31:02: [G_Auto 1] :  Store Text Value (Shared) for Max Purcell: bPoints = point: 30; games: 1; sets: 0 
3/16/2022 18:31:02: [G_Auto 1] :  Store Text Value (Shared) for Max Purcell: bServing = serving:2
3/16/2022 18:31:02: [G_Auto 1] :  Store Value (Shared) for market: price = 1.1
3/16/2022 18:31:02: [G_Auto 1] :  Store Value (Shared) for market: totalBack = 0
3/16/2022 18:31:02: [G_Auto 1] :  Store Value (Shared) for market: totalLay = 140.68
3/16/2022 18:31:02: [G_Auto 1] :  Store Value (Shared) for market: stake = 60.68
3/16/2022 18:31:02: [G_Auto 1] :  Store Value (Shared) for market: totalStake = 140.68
3/16/2022 18:31:02: [G_Auto 1] :  Store Value (Shared) for market: pl = -10.91
3/16/2022 18:31:02: [G_Auto 1] :  Store Value (Shared) for market: currentOddsA = 1.12
3/16/2022 18:31:02: [G_Auto 1] :  Store Value (Shared) for market: currentOddsB = 10.5
