2/5/2022 20:41:18:  Guardian has detected that the market is in-play
2/5/2022 20:41:18:  Guardian has detected that the market is suspended
2/5/2022 20:41:30:  Guardian has detected that the market is now unsuspended
2/5/2022 22:31:29: [G_Auto 2] :  Store Text Value (Shared) for Francisco Cerundolo: matchName: = serving:Cerundolo v Cam Ugo Carabelli - Match OddsrunnerA: Francisco Cerundolo, runnerB: Camilo Ugo Carabelli 
2/5/2022 22:32:42: [G_Auto 2] :  Store Text Value (Shared) for Francisco Cerundolo: info = marketName: Cerundolo v Cam Ugo Carabelli - Match OddsrunnerA: Francisco CerundolorunnerB: Camilo Ugo Carabelli 
2/5/2022 22:33:06: [G_Auto 2] :  Store Text Value (Shared) for Francisco Cerundolo: info = marketName: Cerundolo v Cam Ugo Carabelli - Match Odds; runnerA: Francisco Cerundolo; runnerB: Camilo Ugo Carabelli 
2/5/2022 22:37:57: [G_Auto 2] :  Store Text Value (Shared) for Francisco Cerundolo: info = marketName: Cerundolo v Cam Ugo Carabelli - Match Odds; runnerA: Francisco Cerundolo; runnerB: Camilo Ugo Carabelli 
2/5/2022 22:37:57: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: ; bBspA: 8.6; volume: 41147.44 
2/5/2022 22:37:57: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: ; bBspA: 8.6; volume: 41147.44 
2/5/2022 22:39:10: [G_Auto 2] :  Store Text Value (Shared) for Francisco Cerundolo: info = marketName: Cerundolo v Cam Ugo Carabelli - Match Odds; runnerA: Francisco Cerundolo; runnerB: Camilo Ugo Carabelli 
2/5/2022 22:39:10: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: ; bBsp: 9.2; volume: 41218.76 
2/5/2022 22:39:10: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: ; bBsp: 9.2; volume: 41218.76 
2/5/2022 22:40:40: [G_Auto 2] :  Store Text Value (Shared) for Francisco Cerundolo: info = marketName: Cerundolo v Cam Ugo Carabelli - Match Odds; runnerA: Francisco Cerundolo; runnerB: Camilo Ugo Carabelli 
2/5/2022 22:40:40: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.1; bBsp: 11; volume: 41581.28 
2/5/2022 22:40:40: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.1; bBsp: 11; volume: 41581.28 
2/5/2022 22:43:55: [G_Auto 2] :  Store Text Value (Shared) for Francisco Cerundolo: info = marketName: Cerundolo v Cam Ugo Carabelli - Match Odds; runnerA: Francisco Cerundolo; runnerB: Camilo Ugo Carabelli 
2/5/2022 22:43:55: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.19; bBsp: 6.4; volume: 42278.97 
2/5/2022 22:43:55: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.19; bBsp: 6.4; volume: 42278.97 
2/5/2022 22:45:31: [G_Auto 2] :  Store Text Value (Shared) for Francisco Cerundolo: info = marketName: Cerundolo v Cam Ugo Carabelli - Match Odds; runnerA: Francisco Cerundolo; runnerB: Camilo Ugo Carabelli 
2/5/2022 22:45:31: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.19; bBsp: 6.4; volume: 42806.98 
2/5/2022 22:45:31: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.19; bBsp: 6.4; volume: 42806.98 
2/5/2022 22:46:04: [G_Auto 2] :  Store Text Value (Shared) for Francisco Cerundolo: info = marketName: Cerundolo v Cam Ugo Carabelli - Match Odds; runnerA: Francisco Cerundolo; runnerB: Camilo Ugo Carabelli 
2/5/2022 22:46:04: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.23; bBsp: 5.2; volume: 46477.79 
2/5/2022 22:46:04: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.23; bBsp: 5.2; volume: 46477.79 
2/5/2022 22:48:37: [G_Auto 2] :  Store Text Value (Shared) for Francisco Cerundolo: info = marketName: Cerundolo v Cam Ugo Carabelli - Match Odds; runnerA: Francisco Cerundolo; runnerB: Camilo Ugo Carabelli 
2/5/2022 22:48:37: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.34; bBsp: 3.9; volume: 49815.8 
2/5/2022 22:48:37: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.34; bBsp: 3.9; volume: 49815.8 
2/5/2022 22:50:40: [G_Auto 2] :  Store Text Value (Shared) for Francisco Cerundolo: info = marketName: Cerundolo v Cam Ugo Carabelli - Match Odds; runnerA: Francisco Cerundolo; runnerB: Camilo Ugo Carabelli 
2/5/2022 22:50:40: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.46; bBsp: 3.2; volume: 59137.02 
2/5/2022 22:50:40: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.46; bBsp: 3.2; volume: 59137.02 
2/5/2022 22:53:06: [G_Auto 2] :  Store Text Value (Shared) for Francisco Cerundolo: info = marketName: Cerundolo v Cam Ugo Carabelli - Match Odds; runnerA: Francisco Cerundolo; runnerB: Camilo Ugo Carabelli 
2/5/2022 22:53:06: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.46; bBsp: 3.2; volume: 59586.8 
2/5/2022 22:53:06: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.46; bBsp: 3.2; volume: 59586.8 
