2/5/2022 20:18:57:  Guardian has detected that the market is in-play
2/5/2022 20:18:57:  Guardian has detected that the market is suspended
2/5/2022 20:19:09:  Guardian has detected that the market is now unsuspended
2/5/2022 22:31:30: [G_Auto 2] :  Store Text Value (Shared) for Mario Vilella Martinez: matchName: = serving:Vilella Martinez v Hanfmann - Match OddsrunnerA: Mario Vilella Martinez, runnerB: Yannick Hanfmann 
2/5/2022 22:32:43: [G_Auto 2] :  Store Text Value (Shared) for Mario Vilella Martinez: info = marketName: Vilella Martinez v Hanfmann - Match OddsrunnerA: Mario Vilella MartinezrunnerB: Yannick Hanfmann 
2/5/2022 22:33:07: [G_Auto 2] :  Store Text Value (Shared) for Mario Vilella Martinez: info = marketName: Vilella Martinez v Hanfmann - Match Odds; runnerA: Mario Vilella Martinez; runnerB: Yannick Hanfmann 
2/5/2022 22:37:58: [G_Auto 2] :  Store Text Value (Shared) for Mario Vilella Martinez: info = marketName: Vilella Martinez v Hanfmann - Match Odds; runnerA: Mario Vilella Martinez; runnerB: Yannick Hanfmann 
2/5/2022 22:37:58: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: ; bBspA: 2.3; volume: 62715.09 
2/5/2022 22:37:58: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: ; bBspA: 2.3; volume: 62715.09 
2/5/2022 22:39:11: [G_Auto 2] :  Store Text Value (Shared) for Mario Vilella Martinez: info = marketName: Vilella Martinez v Hanfmann - Match Odds; runnerA: Mario Vilella Martinez; runnerB: Yannick Hanfmann 
2/5/2022 22:39:11: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: ; bBsp: 2.96; volume: 63271.88 
2/5/2022 22:39:11: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: ; bBsp: 2.96; volume: 63271.88 
2/5/2022 22:40:41: [G_Auto 2] :  Store Text Value (Shared) for Mario Vilella Martinez: info = marketName: Vilella Martinez v Hanfmann - Match Odds; runnerA: Mario Vilella Martinez; runnerB: Yannick Hanfmann 
2/5/2022 22:40:41: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.65; bBsp: 2.56; volume: 63534.04 
2/5/2022 22:40:41: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.65; bBsp: 2.56; volume: 63534.04 
2/5/2022 22:43:56: [G_Auto 2] :  Store Text Value (Shared) for Mario Vilella Martinez: info = marketName: Vilella Martinez v Hanfmann - Match Odds; runnerA: Mario Vilella Martinez; runnerB: Yannick Hanfmann 
2/5/2022 22:43:56: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.79; bBsp: 2.26; volume: 67846.08 
2/5/2022 22:43:56: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.79; bBsp: 2.26; volume: 67846.08 
2/5/2022 22:45:32: [G_Auto 2] :  Store Text Value (Shared) for Mario Vilella Martinez: info = marketName: Vilella Martinez v Hanfmann - Match Odds; runnerA: Mario Vilella Martinez; runnerB: Yannick Hanfmann 
2/5/2022 22:45:32: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.44; bBsp: 3.25; volume: 71802.93 
2/5/2022 22:45:32: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.44; bBsp: 3.25; volume: 71802.93 
2/5/2022 22:46:05: [G_Auto 2] :  Store Text Value (Shared) for Mario Vilella Martinez: info = marketName: Vilella Martinez v Hanfmann - Match Odds; runnerA: Mario Vilella Martinez; runnerB: Yannick Hanfmann 
2/5/2022 22:46:05: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.44; bBsp: 3.4; volume: 73733.56 
2/5/2022 22:46:05: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.44; bBsp: 3.4; volume: 73733.56 
2/5/2022 22:48:38: [G_Auto 2] :  Store Text Value (Shared) for Mario Vilella Martinez: info = marketName: Vilella Martinez v Hanfmann - Match Odds; runnerA: Mario Vilella Martinez; runnerB: Yannick Hanfmann 
2/5/2022 22:48:38: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.28; bBsp: 4.5; volume: 80331.54 
2/5/2022 22:48:38: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.28; bBsp: 4.5; volume: 80331.54 
2/5/2022 22:50:41: [G_Auto 2] :  Store Text Value (Shared) for Mario Vilella Martinez: info = marketName: Vilella Martinez v Hanfmann - Match Odds; runnerA: Mario Vilella Martinez; runnerB: Yannick Hanfmann 
