5/18/2022 09:59:50: [G_Auto 2] :  Store Text Value (Shared) for Salvatore Caruso: info = marketName: Caruso v Jarry - Match Odds; runnerA: Salvatore Caruso; runnerB: Nicolas Jarry 
5/18/2022 09:59:50: [G_Auto 2] :  Store Value (Shared) for market: aId = 8257868
5/18/2022 09:59:50: [G_Auto 2] :  Store Value (Shared) for market: bId = 8260515
5/18/2022 15:16:57:  Guardian has detected that the market is in-play
5/18/2022 15:16:57:  Guardian has detected that the market is suspended
5/18/2022 15:17:08: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 3.65; bBsp: 1.35; volume: 575.43 
5/18/2022 15:17:08: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 3.65; bBsp: 1.35; volume: 575.43 
5/18/2022 15:17:08:  Guardian has detected that the market is now unsuspended
5/18/2022 16:19:51: [G_Auto 2] :  Store Value (Shared) for market: aFirstSetPrice = 7.6
5/18/2022 16:19:51: [G_Auto 2] :  Store Value (Shared) for market: bFirstSetPrice = 1.13
5/18/2022 17:09:40: [G_Auto 2] :  Store Value (Shared) for market: aSecondSetPrice = 2.6
5/18/2022 17:09:40: [G_Auto 2] :  Store Value (Shared) for market: bSecondSetPrice = 1.62
5/18/2022 17:54:18:  Guardian has detected that the market is suspended
