4/5/2022 11:27:43: [G_Auto 1] :  Store Text Value (Shared) for Carlos Taberner: info = marketName: Taberner v Hanfmann - Match Odds; runnerA: Carlos Taberner; runnerB: Yannick Hanfmann 
4/5/2022 11:27:43: [G_Auto 1] :  Store Value (Shared) for market: aId = 9631075
4/5/2022 11:27:43: [G_Auto 1] :  Store Value (Shared) for market: bId = 8639275
4/5/2022 13:19:18:  Guardian has detected that the market is in-play
4/5/2022 13:19:18:  Guardian has detected that the market is suspended
4/5/2022 13:19:31: [G_Auto 1] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.89; bBsp: 2.2; volume: 21814.74 
4/5/2022 13:19:31: [G_Auto 1] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.89; bBsp: 2.2; volume: 21814.74 
4/5/2022 13:19:31:  Guardian has detected that the market is now unsuspended
4/5/2022 13:19:34: [G_Auto 5] :  € 10.00 Lay bet placed on Yannick Hanfmann at 1.4. Entirely unmatched when it initially reached the market.   Ref: 11718
4/5/2022 13:19:34: [G_Auto 3] :  € 50.00 Lay bet placed on Yannick Hanfmann at 1.2. Entirely unmatched when it initially reached the market.   Ref: 11717
4/5/2022 13:19:34: [G_Auto 2] :  € 100.00 Lay bet placed on Yannick Hanfmann at 1.1. Entirely unmatched when it initially reached the market.   Ref: 11720
4/5/2022 13:19:34: [G_Auto 2] :  € 100.00 Lay bet placed on Carlos Taberner at 1.1. Entirely unmatched when it initially reached the market.   Ref: 11719
4/5/2022 13:19:34: [G_Auto 4] :  € 20.00 Lay bet placed on Carlos Taberner at 1.3. Entirely unmatched when it initially reached the market.   Ref: 11721
4/5/2022 13:19:34: [G_Auto 3] :  € 50.00 Lay bet placed on Carlos Taberner at 1.2. Entirely unmatched when it initially reached the market.   Ref: 11723
4/5/2022 13:19:34: [G_Auto 4] :  € 20.00 Lay bet placed on Yannick Hanfmann at 1.3. Entirely unmatched when it initially reached the market.   Ref: 11722
4/5/2022 13:19:34: [G_Auto 5] :  € 10.00 Lay bet placed on Carlos Taberner at 1.4. Entirely unmatched when it initially reached the market.   Ref: 11724
4/5/2022 13:25:26: [G_Auto 1] :  Store Text Value (Shared) for Carlos Taberner: aPoints = point: 15; games: 2; sets: 0 
4/5/2022 13:25:26: [G_Auto 1] :  Store Text Value (Shared) for Carlos Taberner: aServing = serving:0
4/5/2022 13:25:26: [G_Auto 1] :  Store Text Value (Shared) for Yannick Hanfmann: bPoints = point: 0; games: 0; sets: 0 
4/5/2022 13:25:26: [G_Auto 1] :  Store Text Value (Shared) for Yannick Hanfmann: bServing = serving:2
4/5/2022 13:25:26: [G_Auto 1] :  Store Value (Shared) for market: price = 1.4
4/5/2022 13:25:26: [G_Auto 1] :  Store Value (Shared) for market: totalBack = 0
4/5/2022 13:25:26: [G_Auto 1] :  Store Value (Shared) for market: totalLay = 10
4/5/2022 13:25:26: [G_Auto 1] :  Store Value (Shared) for market: stake = 10
4/5/2022 13:25:26: [G_Auto 1] :  Store Value (Shared) for market: totalStake = 10
4/5/2022 13:25:26: [G_Auto 1] :  Store Value (Shared) for market: pl = -0.22
4/5/2022 13:25:26: [G_Auto 1] :  Store Value (Shared) for market: currentOddsA = 1.37
4/5/2022 13:25:26: [G_Auto 1] :  Store Value (Shared) for market: currentOddsB = 3.55
4/5/2022 13:25:32: [G_Auto 5] :  € 0.58 Back bet placed on Carlos Taberner at 2.38. Entirely unmatched when it initially reached the market.   Ref: 11730
4/5/2022 13:25:32: [G_Auto 5] :  € 0.12 Back bet placed on Carlos Taberner at 7.8. Entirely unmatched when it initially reached the market.   Ref: 11732
4/5/2022 13:25:32: [G_Auto 5] :  € 0.86 Back bet placed on Carlos Taberner at 10. Entirely unmatched when it initially reached the market.   Ref: 11731
4/5/2022 13:25:32: [G_Auto 5] :  € 1.05 Back bet placed on Carlos Taberner at 1.76. Entirely unmatched when it initially reached the market.   Ref: 11733
4/5/2022 13:25:32: [G_Auto 5] :  € 0.30 Back bet placed on Carlos Taberner at 3.65. Entirely unmatched when it initially reached the market.   Ref: 11734
4/5/2022 13:27:19: [G_Auto 1] :  Store Text Value (Shared) for Carlos Taberner: aPoints = point: 40; games: 2; sets: 0 
4/5/2022 13:27:19: [G_Auto 1] :  Store Text Value (Shared) for Carlos Taberner: aServing = serving:0
4/5/2022 13:27:19: [G_Auto 1] :  Store Text Value (Shared) for Yannick Hanfmann: bPoints = point: 15; games: 0; sets: 0 
4/5/2022 13:27:19: [G_Auto 1] :  Store Text Value (Shared) for Yannick Hanfmann: bServing = serving:2
4/5/2022 13:27:19: [G_Auto 1] :  Store Value (Shared) for market: price = 1.3
4/5/2022 13:27:19: [G_Auto 1] :  Store Value (Shared) for market: totalBack = 0
4/5/2022 13:27:19: [G_Auto 1] :  Store Value (Shared) for market: totalLay = 30
4/5/2022 13:27:19: [G_Auto 1] :  Store Value (Shared) for market: stake = 20
4/5/2022 13:27:19: [G_Auto 1] :  Store Value (Shared) for market: totalStake = 30
4/5/2022 13:27:19: [G_Auto 1] :  Store Value (Shared) for market: pl = -1.75
4/5/2022 13:27:19: [G_Auto 1] :  Store Value (Shared) for market: currentOddsA = 1.3
4/5/2022 13:27:19: [G_Auto 1] :  Store Value (Shared) for market: currentOddsB = 4.1
4/5/2022 13:27:22: [G_Auto 4] :  € 2.22 Back bet placed on Carlos Taberner at 1.54. Entirely unmatched when it initially reached the market.   Ref: 11744
4/5/2022 13:27:25: [G_Auto 4] :  € 1.60 Back bet placed on Carlos Taberner at 10. Entirely unmatched when it initially reached the market.   Ref: 11749
4/5/2022 13:27:25: [G_Auto 4] :  € 1.36 Back bet placed on Carlos Taberner at 1.88. Entirely unmatched when it initially reached the market.   Ref: 11750
4/5/2022 13:27:25: [G_Auto 4] :  € 0.50 Back bet placed on Carlos Taberner at 3.4. Entirely unmatched when it initially reached the market.   Ref: 11751
4/5/2022 13:27:25: [G_Auto 4] :  € 0.85 Back bet placed on Carlos Taberner at 2.42. Entirely unmatched when it initially reached the market.   Ref: 11752
4/5/2022 13:37:03: [G_Auto 1] :  Store Text Value (Shared) for Carlos Taberner: aPoints = point: 30; games: 4; sets: 0 
4/5/2022 13:37:03: [G_Auto 1] :  Store Text Value (Shared) for Carlos Taberner: aServing = serving:0
4/5/2022 13:37:03: [G_Auto 1] :  Store Text Value (Shared) for Yannick Hanfmann: bPoints = point: 15; games: 0; sets: 0 
4/5/2022 13:37:03: [G_Auto 1] :  Store Text Value (Shared) for Yannick Hanfmann: bServing = serving:2
4/5/2022 13:37:03: [G_Auto 1] :  Store Value (Shared) for market: price = 1.2
4/5/2022 13:37:03: [G_Auto 1] :  Store Value (Shared) for market: totalBack = 0
4/5/2022 13:37:03: [G_Auto 1] :  Store Value (Shared) for market: totalLay = 80
4/5/2022 13:37:03: [G_Auto 1] :  Store Value (Shared) for market: stake = 50
4/5/2022 13:37:03: [G_Auto 1] :  Store Value (Shared) for market: totalStake = 80
4/5/2022 13:37:03: [G_Auto 1] :  Store Value (Shared) for market: pl = -3.33
4/5/2022 13:37:03: [G_Auto 1] :  Store Value (Shared) for market: currentOddsA = 1.21
4/5/2022 13:37:03: [G_Auto 1] :  Store Value (Shared) for market: currentOddsB = 6
4/5/2022 13:37:06: [G_Auto 3] :  € 3.86 Back bet placed on Carlos Taberner at 10. Entirely unmatched when it initially reached the market.   Ref: 11761
4/5/2022 13:37:06: [G_Auto 3] :  € 3.91 Back bet placed on Carlos Taberner at 1.51. Entirely unmatched when it initially reached the market.   Ref: 11762
4/5/2022 13:37:06: [G_Auto 3] :  € 5.89 Back bet placed on Carlos Taberner at 1.34. Entirely unmatched when it initially reached the market.   Ref: 11763
4/5/2022 13:37:09: [G_Auto 3] :  € 1.93 Back bet placed on Carlos Taberner at 2.04. Entirely unmatched when it initially reached the market.   Ref: 11767
4/5/2022 13:37:09: [G_Auto 3] :  € 0.95 Back bet placed on Carlos Taberner at 3.1. Entirely unmatched when it initially reached the market.   Ref: 11766
4/5/2022 13:45:32: [G_Auto 1] :  Store Text Value (Shared) for Carlos Taberner: aPoints = point: 0; games: 4; sets: 0 
4/5/2022 13:45:32: [G_Auto 1] :  Store Text Value (Shared) for Carlos Taberner: aServing = serving:0
4/5/2022 13:45:32: [G_Auto 1] :  Store Text Value (Shared) for Yannick Hanfmann: bPoints = point: 0; games: 2; sets: 0 
4/5/2022 13:45:32: [G_Auto 1] :  Store Text Value (Shared) for Yannick Hanfmann: bServing = serving:2
4/5/2022 13:45:32: [G_Auto 1] :  Store Value (Shared) for market: price = 1.34
4/5/2022 13:45:32: [G_Auto 1] :  Store Value (Shared) for market: totalBack = 5.89
4/5/2022 13:45:32: [G_Auto 1] :  Store Value (Shared) for market: totalLay = 80
4/5/2022 13:45:32: [G_Auto 1] :  Store Value (Shared) for market: stake = 5.89
4/5/2022 13:45:32: [G_Auto 1] :  Store Value (Shared) for market: totalStake = 85.89
4/5/2022 13:45:32: [G_Auto 1] :  Store Value (Shared) for market: pl = 6.25
4/5/2022 13:45:32: [G_Auto 1] :  Store Value (Shared) for market: currentOddsA = 1.37
4/5/2022 13:45:32: [G_Auto 1] :  Store Value (Shared) for market: currentOddsB = 3.7
4/5/2022 13:53:38: [G_Auto 1] :  Store Value (Shared) for market: aFirstSetPrice = 1.21
4/5/2022 13:53:38: [G_Auto 1] :  Store Value (Shared) for market: bFirstSetPrice = 5.7
4/5/2022 13:58:27: [G_Auto 1] :  Store Text Value (Shared) for Carlos Taberner: aPoints = point: 0; games: 1; sets: 1 
4/5/2022 13:58:27: [G_Auto 1] :  Store Text Value (Shared) for Carlos Taberner: aServing = serving:1
4/5/2022 13:58:27: [G_Auto 1] :  Store Text Value (Shared) for Yannick Hanfmann: bPoints = point: 0; games: 0; sets: 0 
4/5/2022 13:58:27: [G_Auto 1] :  Store Text Value (Shared) for Yannick Hanfmann: bServing = serving:0
4/5/2022 13:58:27: [G_Auto 1] :  Store Value (Shared) for market: price = 1.1
4/5/2022 13:58:27: [G_Auto 1] :  Store Value (Shared) for market: totalBack = 5.89
4/5/2022 13:58:27: [G_Auto 1] :  Store Value (Shared) for market: totalLay = 180
4/5/2022 13:58:27: [G_Auto 1] :  Store Value (Shared) for market: stake = 100
4/5/2022 13:58:27: [G_Auto 1] :  Store Value (Shared) for market: totalStake = 185.89
4/5/2022 13:58:27: [G_Auto 1] :  Store Value (Shared) for market: pl = -11.31
4/5/2022 13:58:27: [G_Auto 1] :  Store Value (Shared) for market: currentOddsA = 1.1
4/5/2022 13:58:27: [G_Auto 1] :  Store Value (Shared) for market: currentOddsB = 11
4/5/2022 13:58:30: [G_Auto 2] :  € 8.86 Back bet placed on Carlos Taberner at 1.16. Entirely unmatched when it initially reached the market.   Ref: 11794
4/5/2022 13:58:30: [G_Auto 2] :  € 3.62 Back bet placed on Carlos Taberner at 1.39. Entirely unmatched when it initially reached the market.   Ref: 11796
4/5/2022 13:58:30: [G_Auto 2] :  € 26.99 Back bet placed on Carlos Taberner at 2.84. Entirely unmatched when it initially reached the market.   Ref: 11798
4/5/2022 13:58:30: [G_Auto 2] :  € 6.20 Back bet placed on Carlos Taberner at 1.23. Entirely unmatched when it initially reached the market.   Ref: 11799
4/5/2022 13:58:30: [G_Auto 2] :  € 2.42 Back bet placed on Carlos Taberner at 1.59. Entirely unmatched when it initially reached the market.   Ref: 11797
4/5/2022 13:58:33: [G_Auto 2] :  € 1.12 Back bet placed on Carlos Taberner at 2.26. Entirely unmatched when it initially reached the market.   Ref: 11801
4/5/2022 13:58:33: [G_Auto 2] :  € 1.65 Back bet placed on Carlos Taberner at 1.86. Entirely unmatched when it initially reached the market.   Ref: 11802
4/5/2022 13:58:51:  Guardian has detected that the market is suspended
