1/18/2023 00:49:52: [G_Auto 1] :  Store Text Value (Shared) for Kacper Zuk: info = marketName: Kacp Zuk v Geerts - Match Odds; runnerA: Kacper Zuk; runnerB: Michael Geerts 
1/18/2023 00:49:52: [G_Auto 1] :  Store Value (Shared) for market: aId = 10303684
1/18/2023 00:49:52: [G_Auto 1] :  Store Value (Shared) for market: bId = 8874195
1/18/2023 04:39:18:  Guardian has detected that the market is in-play
1/18/2023 04:39:18:  Guardian has detected that the market is suspended
1/18/2023 04:39:39: [G_Auto 1] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.73; bBsp: 2.16; volume: 1068.36 
1/18/2023 04:39:39: [G_Auto 1] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.73; bBsp: 2.16; volume: 1068.36 
1/18/2023 04:39:39:  Guardian has detected that the market is now unsuspended
1/18/2023 05:15:15: [G_Auto 1] :  Automation Signal for market: secondSet = 5
1/18/2023 06:13:48:  Guardian has detected that the market is suspended
