2/23/2022 12:40:24:  Guardian has detected that the market is in-play
2/23/2022 12:40:24:  Guardian has detected that the market is suspended
2/23/2022 12:40:34:  Guardian has detected that the market is now unsuspended
2/23/2022 12:41:15: [G_Auto 1] :  € 100.00 Lay bet placed on Jelle Sels at 1.1. Entirely unmatched when it initially reached the market.   Ref: 10000
2/23/2022 12:41:15: [G_Auto 1] :  € 100.00 Lay bet placed on Francesco Maestrelli at 1.1. Entirely unmatched when it initially reached the market.   Ref: 10001
2/23/2022 12:41:37: [G_Auto 2] :  € 50.00 Lay bet placed on Jelle Sels at 1.2. Entirely unmatched when it initially reached the market.   Ref: 10002
2/23/2022 12:41:37: [G_Auto 2] :  € 50.00 Lay bet placed on Francesco Maestrelli at 1.2. Entirely unmatched when it initially reached the market.   Ref: 10003
2/23/2022 12:41:45: [G_Auto 3] :  € 20.00 Lay bet placed on Francesco Maestrelli at 1.3. Entirely unmatched when it initially reached the market.   Ref: 10004
2/23/2022 12:41:45: [G_Auto 3] :  € 20.00 Lay bet placed on Jelle Sels at 1.3. Entirely unmatched when it initially reached the market.   Ref: 10005
2/23/2022 12:42:00: [G_Auto 4] :  € 10.00 Lay bet placed on Francesco Maestrelli at 1.4. Entirely unmatched when it initially reached the market.   Ref: 10006
2/23/2022 12:49:52: [G_Auto 3] :  € 15.00 Back bet placed on Jelle Sels at 1.54. Entirely unmatched when it initially reached the market.   Ref: 10009
2/23/2022 12:49:52: [G_Auto 3] :  € 18.00 Back bet placed on Jelle Sels at 1.88. Entirely unmatched when it initially reached the market.   Ref: 10010
2/23/2022 12:49:52: [G_Auto 3] :  € 24.00 Back bet placed on Jelle Sels at 2.42. Entirely unmatched when it initially reached the market.   Ref: 10011
2/23/2022 12:49:52: [G_Auto 3] :  € 10.00 Back bet placed on Jelle Sels at 10. Entirely unmatched when it initially reached the market.   Ref: 10012
2/23/2022 12:49:52: [G_Auto 3] :  € 34.00 Back bet placed on Jelle Sels at 3.4. Entirely unmatched when it initially reached the market.   Ref: 10013
2/23/2022 12:51:33:  € 8.00 Lay bet placed on Francesco Maestrelli at 3.15. Fully matched at 3.15.  Ref: 10014
2/23/2022 12:51:51:  € 1.50 Lay bet placed on Francesco Maestrelli at 3.2. Fully matched at 3.2.  Ref: 10016
2/23/2022 12:51:54: [G_Auto 4] :  € 3.65 Back bet placed on Francesco Maestrelli at 3.65. Entirely unmatched when it initially reached the market.   Ref: 10017
2/23/2022 12:51:54: [G_Auto 4] :  € 2.38 Back bet placed on Francesco Maestrelli at 2.38. Fully matched at 3.  Ref: 10018
2/23/2022 12:51:54: [G_Auto 4] :  € 7.80 Back bet placed on Francesco Maestrelli at 7.8. Entirely unmatched when it initially reached the market.   Ref: 10020
2/23/2022 12:51:54: [G_Auto 4] :  € 10.00 Back bet placed on Francesco Maestrelli at 10. Entirely unmatched when it initially reached the market.   Ref: 10021
2/23/2022 12:51:57: [G_Auto 4] :  € 1.70 Back bet placed on Francesco Maestrelli at 1.76. Fully matched at 2.56.  Ref: 10022
2/23/2022 12:52:14:  Cancelling bets 10017  
2/23/2022 12:52:18:  Cancelling bets 10020  
2/23/2022 12:52:19:  Cancelling bets 10021  
2/23/2022 12:52:28:  Cancelling bets 10006  
2/23/2022 12:52:57:  € 9.00 Lay bet placed on Francesco Maestrelli at 4.3. Entirely unmatched when it initially reached the market.   Ref: 10023
2/23/2022 12:53:04:  Cancelling bets 10023  
2/23/2022 12:53:08:  € 9.00 Lay bet placed on Francesco Maestrelli at 4.4. Entirely unmatched when it initially reached the market.   Ref: 10024
2/23/2022 12:53:28:  € 1.00 Lay bet placed on Francesco Maestrelli at 4.6. Fully matched at 4.6.  Ref: 10026
2/23/2022 12:53:31: [G_Auto 3] :  € 18.00 Back bet placed on Francesco Maestrelli at 1.88. Fully matched at 4.4.  Ref: 10027
2/23/2022 12:53:31: [G_Auto 3] :  € 15.00 Back bet placed on Francesco Maestrelli at 1.54. Fully matched at 4.4.  Ref: 10029
