1/9/2023 22:25:19: [G_Auto 1] :  Store Text Value (Shared) for Sara Errani: info = marketName: Errani v Jeong Jang - Match Odds; runnerA: Sara Errani; runnerB: Su Jeong Jang 
1/9/2023 22:25:19: [G_Auto 1] :  Store Value (Shared) for market: aId = 2309567
1/9/2023 22:25:19: [G_Auto 1] :  Store Value (Shared) for market: bId = 7659425
1/10/2023 00:03:58:  Guardian has detected that the market is in-play
1/10/2023 00:03:58:  Guardian has detected that the market is suspended
1/10/2023 00:04:16: [G_Auto 1] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 2.1; bBsp: 1.9; volume: 9553.51 
1/10/2023 00:04:16: [G_Auto 1] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 2.1; bBsp: 1.9; volume: 9553.51 
1/10/2023 00:04:16:  Guardian has detected that the market is now unsuspended
1/10/2023 01:28:03: [G_Auto 1] :  Automation Signal for market: secondSet = 5
1/10/2023 01:28:21: [G_Auto 1] :  Store Value (Shared) for market: aFirstSetPrice = 4.7
1/10/2023 01:28:21: [G_Auto 1] :  Store Value (Shared) for market: bFirstSetPrice = 1.26
1/10/2023 02:16:13:  Guardian has detected that the market is suspended
