2/23/2022 12:40:25:  Guardian has detected that the market is in-play
2/23/2022 12:40:25:  Guardian has detected that the market is suspended
2/23/2022 12:40:34:  Guardian has detected that the market is now unsuspended
2/23/2022 12:46:58: [G_Auto 1] :  € 5.00 Lay bet placed on Mackenzie McDonald at 1.5. Entirely unmatched when it initially reached the market.   Ref: 10007
2/23/2022 12:46:58: [G_Auto 1] :  € 5.00 Lay bet placed on Filip Krajinovic at 1.5. Entirely unmatched when it initially reached the market.   Ref: 10008
2/23/2022 12:54:59: [G_Auto 1] :  € 2.02 Back bet placed on Filip Krajinovic at 2.02. Entirely unmatched when it initially reached the market.   Ref: 10032
2/23/2022 12:54:59: [G_Auto 1] :  € 6.40 Back bet placed on Filip Krajinovic at 6.4. Entirely unmatched when it initially reached the market.   Ref: 10034
2/23/2022 12:54:59: [G_Auto 1] :  € 10.00 Back bet placed on Filip Krajinovic at 10. Entirely unmatched when it initially reached the market.   Ref: 10035
2/23/2022 12:54:59: [G_Auto 1] :  € 3.10 Back bet placed on Filip Krajinovic at 3.1. Entirely unmatched when it initially reached the market.   Ref: 10033
2/23/2022 12:58:57:  € 2.00 Lay bet placed on Mackenzie McDonald at 3.65. Fully matched at 3.65.  Ref: 10036
2/23/2022 12:59:03:  € 2.00 Lay bet placed on Mackenzie McDonald at 3.65. Entirely unmatched when it initially reached the market.   Ref: 10037
2/23/2022 12:59:25:  € 0.10 Lay bet placed on Mackenzie McDonald at 3.8. Fully matched at 3.6.  Ref: 10039
2/23/2022 12:59:28: [G_Auto 1] :  € 2.02 Back bet placed on Mackenzie McDonald at 2.02. Fully matched at 3.5.  Ref: 10040
2/23/2022 12:59:28: [G_Auto 1] :  € 3.10 Back bet placed on Mackenzie McDonald at 3.1. Fully matched at 3.5.  Ref: 10041
2/23/2022 12:59:28: [G_Auto 1] :  € 6.40 Back bet placed on Mackenzie McDonald at 6.4. Entirely unmatched when it initially reached the market.   Ref: 10042
2/23/2022 12:59:28: [G_Auto 1] :  € 10.00 Back bet placed on Mackenzie McDonald at 10. Entirely unmatched when it initially reached the market.   Ref: 10043
2/23/2022 14:31:51:  Guardian has detected that the market is suspended
